std,mean,ETFname,log_mean,log_std,sharpe ratio
1.019014743,0.022513797,RFG,0.017317874,1.020698391,0.31255814
1.23547202,0.032814533,RFV,0.025180322,1.236949378,0.428737918
0.97510075,0.030640558,RGI,0.025883923,0.976214988,0.545306042
0.775954129,0.042024114,RHS,0.039009,0.776322755,0.817716358
0.355080156,0.017495161,RIGS,0.016864249,0.355142589,0.774465116
0.893304698,-0.010165563,RINF,-0.014155914,0.894431033,-0.257818536
2.896921728,0.095666238,RING,0.053719354,2.899489609,0.287152194
0.69817716,-0.004510272,RLY,-0.006945934,0.698718184,-0.1089139
1.001387255,0.040525907,ROBO,0.035504401,1.002842123,0.674630033
2.146470765,0.101811452,ROM,0.078705459,2.151948213,0.760964606
1.02388032,0.02397961,ROOF,0.018731273,1.025926928,0.308556282
0.957111197,0.024814194,RPG,0.020227667,0.959001716,0.396197702
1.084364609,0.023230902,RPV,0.017347214,1.086183606,0.365699411
0.833143928,0.012822228,RRF,0.009370474,0.830784891,0.206724483
0.904411942,0.029443951,RSP,0.025350192,0.905686931,0.546671324
2.153199901,0.085199617,RSX,0.062040448,2.153040598,0.511986807
1.748099988,0.141352318,RSXJ,0.126006005,1.748894572,1.39206926
0.879731943,0.027858321,RTH,0.023985935,0.880830247,0.469458473
1.17088513,0.031445721,RTM,0.024593002,1.171729062,0.41857434
6.260148603,0.228405789,RUSL,0.032189822,6.280570104,0.117362692
6.259274332,-0.284923291,RUSS,-0.483602367,6.320559567,-1.04386781
0.777679476,0.02030437,SPXH,0.017280418,0.778399577,0.4028183
2.557596408,0.089353904,SPXL,0.056496005,2.569229566,0.499639305
2.56959604,-0.103757473,SPXS,-0.136722522,2.566190603,-0.717519101
2.567649558,-0.098943454,SPXU,-0.131851637,2.564176331,-0.694286862
0.855943802,0.033256382,SPY,0.029589051,0.856982904,0.653293745
0.873346071,0.036713542,SPYG,0.032895086,0.874337707,0.68544428
0.86342654,0.02894668,SPYV,0.025218367,0.864106259,0.566658816
3.035519797,-0.151004507,SQQQ,-0.19705619,3.031610381,-0.869490931
0.167058277,0.011581501,SRLN,0.011441433,0.167156535,1.131948721
1.954240843,-0.056246445,SRS,-0.075233264,1.946849828,-0.53474111
3.197724324,-0.10333103,SRTY,-0.154354209,3.193432303,-0.602378725
2.72711613,-0.119587992,SSG,-0.156640482,2.718262594,-0.674962932
1.706617023,0.060518885,SSO,0.045915225,1.711537327,0.558702084
0.150350105,0.004284635,SST,0.004171641,0.150427048,0.426236709
0.111243533,0.006014046,STIP,0.005952129,0.111203461,0.878218838
0.137773429,0.005193493,STPZ,0.005098658,0.137730874,0.61646889
0.075160958,0.002276093,SUB,0.002247873,0.075157921,0.538870234
4.240269771,0.209408573,SVXY,0.116193713,4.363433092,0.624021308
